date,cash,position_value,nav
2025-02-14,95359.8248,24899.7563,120259.5811
2025-02-18,95359.8248,24598.3526,119958.1774
2025-02-19,95359.8248,24834.7835,120194.6082
2025-02-20,95359.8248,24512.9088,119872.7335
2025-02-21,95359.8248,23500.4014,118860.2261
2025-02-24,106411.2147,11568.55,117979.7647
2025-02-25,117038.0507,0.0,117038.0507
2025-02-26,105243.6134,11574.9,116818.5134
2025-02-27,105243.6134,11271.96,116515.5734
2025-02-28,105243.6134,11463.12,116706.7334
2025-03-03,105243.6134,11071.08,116314.6934
2025-03-04,105243.6134,11005.2,116248.8134
2025-03-05,83160.9001,34252.0189,117412.9189
2025-03-06,115880.8804,0.0,115880.8804
2025-03-07,115880.8804,0.0,115880.8804
2025-03-10,115880.8804,0.0,115880.8804
2025-03-11,115880.8804,0.0,115880.8804
2025-03-12,115880.8804,0.0,115880.8804
2025-03-13,115880.8804,0.0,115880.8804
2025-03-14,115880.8804,0.0,115880.8804
2025-03-17,115880.8804,0.0,115880.8804
2025-03-18,115880.8804,0.0,115880.8804
2025-03-19,115880.8804,0.0,115880.8804
2025-03-20,115880.8804,0.0,115880.8804
2025-03-21,115880.8804,0.0,115880.8804
2025-03-24,115880.8804,0.0,115880.8804
2025-03-25,115880.8804,0.0,115880.8804
2025-03-26,115880.8804,0.0,115880.8804
2025-03-27,115880.8804,0.0,115880.8804
2025-03-28,115880.8804,0.0,115880.8804
2025-03-31,115880.8804,0.0,115880.8804
2025-04-01,115880.8804,0.0,115880.8804
2025-04-02,115880.8804,0.0,115880.8804
2025-04-03,115880.8804,0.0,115880.8804
2025-04-04,115880.8804,0.0,115880.8804
2025-04-07,78928.0571,34553.548,113481.6052
2025-04-08,78928.0571,34232.476,113160.5331
2025-04-09,67574.5159,51475.5732,119050.0891
2025-04-10,93283.6242,23289.5637,116573.1879
2025-04-11,93283.6242,23741.3886,117025.0128
2025-04-14,93283.6242,23540.8756,116824.4998
2025-04-15,93283.6242,23312.1036,116595.7278
2025-04-16,93283.6242,22545.4704,115829.0946
2025-04-17,104058.8015,11392.26,115451.0615
2025-04-21,104058.8015,11043.12,115101.9215
2025-04-22,104058.8015,11429.88,115488.6815
2025-04-23,104058.8015,11919.6,115978.4015
2025-04-24,104058.8015,12311.64,116370.4415
2025-04-25,104058.8015,12473.34,116532.1415
2025-04-28,92635.3755,23823.4,116458.7755
2025-04-29,92635.3755,24048.94,116684.3155
2025-04-30,92635.3755,23458.12,116093.4955
2025-05-01,92635.3755,23774.0,116409.3755
2025-05-02,92635.3755,24027.08,116662.4555
