symbol,signal_interval_minutes,entry_score,max_intraday_trades,status,sharpe_ratio,ewm_sharpe,total_return,annual_return,max_ddpercent,return_drawdown_ratio,total_trade_count,end_balance,elapsed_sec
TSLA.US,3,0.66,2,ok,-8.517073662821373,-8.58157429204368,-0.416433099999991,-33.31464799999928,-0.5685657497906831,-0.7324273404673082,6,19916.71338,0.151
TSLA.US,3,0.66,4,ok,-10.19736982987744,-10.261736727916933,-0.5153367670999942,-41.22694136799954,-0.6426636585145836,-0.8018763162851225,12,19896.93264658,0.139
TSLA.US,3,0.66,6,ok,-9.18157324450257,-9.211580584387084,-0.4276286242000049,-34.21028993600039,-0.49729371554355006,-0.8599115790807851,18,19914.47427516,0.141
TSLA.US,3,0.68,2,ok,-8.517073662821373,-8.58157429204368,-0.416433099999991,-33.31464799999928,-0.5685657497906831,-0.7324273404673082,6,19916.71338,0.146
TSLA.US,3,0.68,4,ok,-10.439764897177213,-10.50233533746733,-0.5598001020999943,-44.784008167999545,-0.6870700864693822,-0.814764189453532,12,19888.03997958,0.143
TSLA.US,3,0.68,6,ok,-9.207658128914872,-9.235028963984904,-0.472091959200005,-37.7673567360004,-0.5417259420919648,-0.871459021100122,18,19905.58160816,0.148
TSLA.US,5,0.62,2,ok,-20.703882576379556,-20.781425092578775,-0.5509662449999952,-44.07729959999962,-0.5213925283248435,-1.0567206376550269,6,19889.806751,0.153
TSLA.US,5,0.62,4,ok,-27.02689216571587,-27.11821142001655,-1.0612159150000133,-84.89727320000107,-0.9419262103137064,-1.1266444264743178,12,19787.756816999998,0.152
TSLA.US,5,0.62,6,ok,-14.503367013860514,-14.57209667221296,-0.8951612521000074,-71.61290016800059,-0.9570625234780777,-0.9353216014005921,18,19820.96774958,0.143
TSLA.US,5,0.64,2,ok,-20.703882576379556,-20.781425092578775,-0.5509662449999952,-44.07729959999962,-0.5213925283248435,-1.0567206376550269,6,19889.806751,0.146
TSLA.US,5,0.64,4,ok,-27.31551376840236,-27.406754072886898,-1.0419819799999952,-83.35855839999961,-0.9226690851113158,-1.1293127696743896,12,19791.603604,0.15
TSLA.US,5,0.64,6,ok,-14.499476759675062,-14.568054043616257,-0.8983340371000126,-71.86672296800101,-0.9602333267441161,-0.9355372408766661,18,19820.333192579998,0.153
TSLA.US,5,0.66,2,ok,-20.703882576379556,-20.781425092578775,-0.5509662449999952,-44.07729959999962,-0.5213925283248435,-1.0567206376550269,6,19889.806751,0.154
