date,cash,position_value,nav
2022-06-14,101472.0026,0.0,101472.0026
2022-06-15,101472.0026,0.0,101472.0026
2022-06-16,101472.0026,0.0,101472.0026
2022-06-17,101472.0026,0.0,101472.0026
2022-06-21,101472.0026,0.0,101472.0026
2022-06-22,101472.0026,0.0,101472.0026
2022-06-23,101472.0026,0.0,101472.0026
2022-06-24,101472.0026,0.0,101472.0026
2022-06-27,101472.0026,0.0,101472.0026
2022-06-28,101472.0026,0.0,101472.0026
2022-06-29,101472.0026,0.0,101472.0026
2022-06-30,101472.0026,0.0,101472.0026
2022-07-01,101472.0026,0.0,101472.0026
2022-07-05,101472.0026,0.0,101472.0026
2022-07-06,101472.0026,0.0,101472.0026
2022-07-07,101472.0026,0.0,101472.0026
2022-07-08,101472.0026,0.0,101472.0026
2022-07-11,101472.0026,0.0,101472.0026
2022-07-12,101472.0026,0.0,101472.0026
2022-07-13,101472.0026,0.0,101472.0026
2022-07-14,101472.0026,0.0,101472.0026
2022-07-15,101472.0026,0.0,101472.0026
2022-07-18,101472.0026,0.0,101472.0026
2022-07-19,101472.0026,0.0,101472.0026
2022-07-20,101472.0026,0.0,101472.0026
2022-07-21,101472.0026,0.0,101472.0026
2022-07-22,101472.0026,0.0,101472.0026
2022-07-25,101472.0026,0.0,101472.0026
2022-07-26,101472.0026,0.0,101472.0026
2022-07-27,101472.0026,0.0,101472.0026
2022-07-28,101472.0026,0.0,101472.0026
2022-07-29,101472.0026,0.0,101472.0026
2022-08-01,101472.0026,0.0,101472.0026
2022-08-02,101472.0026,0.0,101472.0026
2022-08-03,101472.0026,0.0,101472.0026
2022-08-04,101472.0026,0.0,101472.0026
2022-08-05,101472.0026,0.0,101472.0026
2022-08-08,101472.0026,0.0,101472.0026
2022-08-09,101472.0026,0.0,101472.0026
2022-08-10,101472.0026,0.0,101472.0026
2022-08-11,101472.0026,0.0,101472.0026
2022-08-12,101472.0026,0.0,101472.0026
2022-08-15,101472.0026,0.0,101472.0026
2022-08-16,101472.0026,0.0,101472.0026
2022-08-17,101472.0026,0.0,101472.0026
2022-08-18,101472.0026,0.0,101472.0026
2022-08-19,101472.0026,0.0,101472.0026
2022-08-22,101472.0026,0.0,101472.0026
2022-08-23,101472.0026,0.0,101472.0026
2022-08-24,101472.0026,0.0,101472.0026
2022-08-25,101472.0026,0.0,101472.0026
2022-08-26,101472.0026,0.0,101472.0026
2022-08-29,101472.0026,0.0,101472.0026
2022-08-30,101472.0026,0.0,101472.0026
2022-08-31,101472.0026,0.0,101472.0026
2022-09-01,101472.0026,0.0,101472.0026
2022-09-02,101472.0026,0.0,101472.0026
2022-09-06,101472.0026,0.0,101472.0026
2022-09-07,101472.0026,0.0,101472.0026
2022-09-08,101472.0026,0.0,101472.0026
2022-09-09,101472.0026,0.0,101472.0026
2022-09-12,101472.0026,0.0,101472.0026
2022-09-13,101472.0026,0.0,101472.0026
2022-09-14,101472.0026,0.0,101472.0026
2022-09-15,101472.0026,0.0,101472.0026
2022-09-16,101472.0026,0.0,101472.0026
2022-09-19,101472.0026,0.0,101472.0026
2022-09-20,101472.0026,0.0,101472.0026
2022-09-21,101472.0026,0.0,101472.0026
2022-09-22,101472.0026,0.0,101472.0026
2022-09-23,101472.0026,0.0,101472.0026
2022-09-26,101472.0026,0.0,101472.0026
2022-09-27,101472.0026,0.0,101472.0026
2022-09-28,101472.0026,0.0,101472.0026
2022-09-29,101472.0026,0.0,101472.0026
2022-09-30,101472.0026,0.0,101472.0026
2022-10-03,101472.0026,0.0,101472.0026
2022-10-04,101472.0026,0.0,101472.0026
2022-10-05,101472.0026,0.0,101472.0026
2022-10-06,101472.0026,0.0,101472.0026
2022-10-07,101472.0026,0.0,101472.0026
2022-10-10,101472.0026,0.0,101472.0026
2022-10-11,101472.0026,0.0,101472.0026
2022-10-12,101472.0026,0.0,101472.0026
2022-10-13,101472.0026,0.0,101472.0026
2022-10-14,101472.0026,0.0,101472.0026
2022-10-17,101472.0026,0.0,101472.0026
2022-10-18,101472.0026,0.0,101472.0026
2022-10-19,101472.0026,0.0,101472.0026
2022-10-20,101472.0026,0.0,101472.0026
2022-10-21,101472.0026,0.0,101472.0026
2022-10-24,101472.0026,0.0,101472.0026
2022-10-25,101472.0026,0.0,101472.0026
2022-10-26,101472.0026,0.0,101472.0026
2022-10-27,101472.0026,0.0,101472.0026
2022-10-28,101472.0026,0.0,101472.0026
2022-10-31,101472.0026,0.0,101472.0026
